memo,sim1,sim2,sim3,sim4,simp,vendors,ext1,accuracy,ext2,accuracy,ext3,accuracy,ext4,accuracy,failed,output,accuracy
""" NUTS ON CLARK "" CHICAGO IL VOR5AA squareup.com/receipts",X,""" NUTS ON CLARK "" CHICAGO IL squareup.com/receipts",X,X,""" NUTS ON CLARK "" CHICAGO IL squareup.com/receipts",nuts on clark, NUTS ON CLARK ,0.9285714285714286,""" ",0.13333333333333333,X,0.0,X,0.0,extracted, NUTS ON CLARK ,0.9285714285714286
1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref25247809P01 Crd6153 Dt11/06,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 25247809P01 6153 Dt11/06,1 800 BAKERY 1 800 BAKERY WINCHES,1 800 BAKERY 1 800 BAKERY WINCHESTER MA P01,X,1 800 BAKERY 1 800 BAKERY WINCHESTER MA,1-800-bakery,X,0.0,1 800 BAKERY ,0.8,X,0.0,X,0.0,extracted,1 800 BAKERY ,0.8
1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref2524780A503 Crd6153 Dt11/20,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 2524780A503 6153 Dt11/20,1 800 BAKERY 1 800 BAKERY WINCHES,1 800 BAKERY 1 800 BAKERY WINCHESTER MA A503,X,1 800 BAKERY 1 800 BAKERY WINCHESTER MA,1-800-bakery,X,0.0,1 800 BAKERY ,0.8,X,0.0,X,0.0,extracted,1 800 BAKERY ,0.8
1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref2524780A603 Crd6153 Dt11/21,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 2524780A603 6153 Dt11/21,1 800 BAKERY 1 800 BAKERY WINCHES,1 800 BAKERY 1 800 BAKERY WINCHESTER MA A603,X,1 800 BAKERY 1 800 BAKERY WINCHESTER MA,1-800-bakery,X,0.0,1 800 BAKERY ,0.8,X,0.0,X,0.0,extracted,1 800 BAKERY ,0.8
11/01 INVOICE2GO 650-300-5180 CA Debit Card,11/01 INVOICE2GO 650-300-5180,11/01 650-300-5180 CA Debit Card,INVOICE2GO 650-300-5180 CA Debit Card,X,650-300-5180,invoice2go,X,0.0,X,0.0,,0.0,X,0.0,extracted,,0.0
11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA Debit Card,11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA ,11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA Debit Card,CALZONES PIZZA C SAN FRANC CALZONES PIZZA C SAN FRANCISCOCA Debit Card,X,CALZONES PIZZA C SAN FRANC CALZONES PIZZA C SAN FRANCISCOCA ,calzones pizza,X,0.0,CALZONES PIZZA C SAN ,0.8,X,0.0,X,0.0,extracted,CALZONES PIZZA C SAN ,0.8
11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA ,11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,SQ *TURTLE TOWER SAN FRANC SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,X,SQ *TURTLE TOWER SAN FRANC SQ *TURTLE TOWER SAN FRANCISCOCA ,turtle tower,X,0.0,SQ *TURTLE TOWER SAN ,0.7272727272727273,X,0.0,X,0.0,extracted,SQ *TURTLE TOWER SAN ,0.7272727272727273
11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES CA Debit Card,11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES,S S ANGELES CA Debit Card,82636 - 100 N. L LOS ANGEL 82636 - 100 N. L LOS ANGELES CA Debit Card,X,S S ANGELES,100 n. los angelos,X,0.0,S ,0.2,S S ANGELES,0.6206896551724138,X,0.0,extracted,S ,0.2
11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES CA Debit Card,11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES,11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES CA Debit Card,LOS ANGELES INTE LOS ANGEL LOS ANGELES INTE LOS ANGELES CA Debit Card,X,LOS ANGELES INTE LOS ANGEL LOS ANGELES INTE LOS ANGELES,los anges inte,X,0.0,LOS LOS ANGELES INTE LOS ANGELES ,0.5957446808510638,X,0.0,X,0.0,extracted,LOS LOS ANGELES INTE LOS ANGELES ,0.5957446808510638
11/05 MERCADO SANTA MONICA CA De 11/05 MERCADO SANTA MONICA CA Debit Card,11/05 MERCADO SANTA MONICADe 11/05 MERCADO SANTA MONICA,11/05 MERCADO SANTA MONICA CA De 11/05 MERCADO SANTA MONICA CA Debit Card,MERCADO SANTA MONICA CA De MERCADO SANTA MONICA CA Debit Card,X,MERCADO SANTA MONICADe MERCADO SANTA MONICA,mercado santa monica,X,0.0,MERCADO SANTA ,0.8235294117647058,X,0.0,X,0.0,extracted,MERCADO SANTA ,0.8235294117647058
